feature,mean_gain,n_models
quarter_2,0.6762577501627115,26
day_thursday,0.6368833046693069,26
close_vs_sma_close_20,0.522677155641409,26
bars_remaining,0.4973431113534249,26
day_tuesday,0.46089811623096466,26
bars_seen,0.43960805810414827,26
slot_idx,0.4362867795504056,26
high_low_log_range_std_20d,0.40191819117619443,26
month_of_year,0.39932402166036457,26
quarter_3,0.3958391272104703,26
quarter_1,0.38872156464136565,26
hour_of_day,0.3883336129096838,26
cutoff_volume_seen_mean_3cut,0.3874044922681955,26
cutoff_price_vs_prev_close,0.37624388245435864,26
day_of_week,0.36891474517492145,26
close_vs_sma_close_10,0.34687111612695914,26
log_cutoff_volume_seen,0.34493819452249086,26
cutoff_range_seen_std_20d,0.3403152869297908,26
sma_volume_5,0.33762792899058414,26
day_wednesday,0.33412580822522825,26
cutoff_volume_seen,0.3252960816025734,26
overnight_gap_pct_mean_10d,0.3225768145460349,26
overnight_gap_pct,0.31685644961320436,26
day_friday,0.30886472245821583,26
day_monday,0.30621258169412613,26
