feature,mean_gain,n_models
quarter_2,0.6762577501627115,26
day_thursday,0.6368833046693069,26
day_tuesday,0.46089811623096466,26
bars_remaining,0.4334978439057103,26
high_low_log_range_std_20d,0.40191819117619443,26
month_of_year,0.39932402166036457,26
quarter_3,0.3958391272104703,26
quarter_1,0.38872156464136565,26
cutoff_volume_seen_mean_3cut,0.3874044922681955,26
day_of_week,0.36891474517492145,26
cutoff_range_seen_std_20d,0.3403152869297908,26
day_wednesday,0.33412580822522825,26
overnight_gap_pct_mean_10d,0.3225768145460349,26
day_friday,0.30886472245821583,26
day_monday,0.30621258169412613,26
cutoff_range_seen_mean_3cut,0.3054310524692902,26
high_low_log_range_std_10d,0.29986908573370713,26
overnight_log_return_mean_5d,0.2919509387933291,26
cutoff_range_seen_std_10cut,0.27307111139480883,26
close_vs_sma_close_20,0.27236688194366604,26
cutoff_price_vs_prev_close_mean_5d,0.2651983694388316,26
overnight_log_return_mean_20d,0.2646362850299248,26
cutoff_range_seen_mean_5cut,0.25895927531214863,26
cutoff_range_seen_std_10d,0.25537904237325376,26
cutoff_range_seen_mean_10cut,0.25178538635373116,26
