feature,mean_gain,n_models
quarter_2,0.7420968619676737,26
day_thursday,0.6978399959894327,26
close_open_log_return_mean_5d,0.5775039002299309,20
day_tuesday,0.49413618789269376,26
high_low_log_range_std_20d,0.4745314665711843,26
bars_seen,0.46727988811639637,26
quarter_1,0.44546832602757674,26
close_vs_sma_close_20,0.4382551753750214,26
month_of_year,0.4293910585916959,26
cutoff_range_seen_std_20d,0.38944213206951434,26
day_friday,0.3873125452261705,26
cutoff_volume_seen_mean_3cut,0.38310865542063344,26
high_low_log_range_std_10d,0.37519435355296504,26
quarter_3,0.37435944149127376,26
cutoff_price_vs_prev_close,0.36400069984105915,26
day_wednesday,0.3550740509079053,26
day_of_week,0.3471383200241969,26
cutoff_range_seen_mean_3cut,0.3437164488893289,26
overnight_gap_pct,0.333253854742417,26
bars_remaining,0.3301725579210772,26
day_monday,0.32295449192707354,26
close_open_log_return_std_10d,0.32023990736342967,24
overnight_gap_pct_mean_10d,0.3182944357395172,26
slot_idx,0.31353041185782504,26
overnight_log_return,0.3119020943458264,26
