symbol,ts,open,high,low,close,volume
GCUSD,2026-05-01 00:00:00,4637.8,4640.3,4631.1,4633.3,570.0
GCUSD,2026-05-01 00:15:00,4632.9,4634.6,4628.6,4628.9,459.0
GCUSD,2026-05-01 00:30:00,4628.9,4629.9,4623.4,4624.8,1136.0
GCUSD,2026-05-01 00:45:00,4625.0,4625.8,4620.3,4620.4,319.0
GCUSD,2026-05-01 01:00:00,4620.7,4626.1,4618.5,4625.1,550.0
GCUSD,2026-05-01 01:15:00,4625.3,4628.2,4622.4,4626.0,294.0
GCUSD,2026-05-01 01:30:00,4626.1,4626.6,4620.5,4621.2,464.0
GCUSD,2026-05-01 01:45:00,4620.7,4624.7,4614.1,4616.2,649.0
GCUSD,2026-05-01 02:00:00,4616.2,4619.4,4612.1,4613.3,820.0
GCUSD,2026-05-01 02:15:00,4613.3,4613.7,4604.8,4605.3,925.0
GCUSD,2026-05-01 02:30:00,4605.4,4609.2,4602.2,4604.8,768.0
GCUSD,2026-05-01 02:45:00,4604.8,4607.7,4602.7,4606.8,607.0
GCUSD,2026-05-01 03:00:00,4606.0,4608.2,4600.6,4607.6,1028.0
GCUSD,2026-05-01 03:15:00,4607.3,4609.7,4596.7,4603.8,1523.0
GCUSD,2026-05-01 03:30:00,4603.9,4603.9,4595.2,4597.1,705.0
GCUSD,2026-05-01 03:45:00,4596.7,4597.6,4586.8,4589.5,1301.0
GCUSD,2026-05-01 04:00:00,4589.7,4594.0,4583.8,4585.1,1063.0
GCUSD,2026-05-01 04:15:00,4585.0,4588.4,4578.0,4579.0,950.0
GCUSD,2026-05-01 04:30:00,4578.5,4583.5,4577.3,4581.9,834.0
GCUSD,2026-05-01 04:45:00,4581.9,4583.9,4575.9,4580.3,694.0
GCUSD,2026-05-01 05:00:00,4580.1,4580.1,4575.2,4576.6,573.0
GCUSD,2026-05-01 05:15:00,4576.6,4582.3,4575.5,4580.4,720.0
GCUSD,2026-05-01 05:30:00,4579.9,4584.0,4578.5,4581.4,769.0
GCUSD,2026-05-01 05:45:00,4581.9,4581.9,4570.0,4573.6,1159.0
GCUSD,2026-05-01 06:00:00,4573.7,4578.9,4572.4,4577.5,556.0
GCUSD,2026-05-01 06:15:00,4577.8,4583.6,4577.5,4583.1,488.0
GCUSD,2026-05-01 06:30:00,4582.9,4587.4,4578.3,4581.1,784.0
GCUSD,2026-05-01 06:45:00,4581.1,4583.1,4576.9,4577.9,376.0
GCUSD,2026-05-01 07:00:00,4577.8,4579.8,4573.0,4576.9,578.0
GCUSD,2026-05-01 07:15:00,4575.9,4587.5,4575.4,4582.8,772.0
GCUSD,2026-05-01 07:30:00,4582.6,4588.7,4581.3,4586.8,636.0
GCUSD,2026-05-01 07:45:00,4586.8,4590.6,4583.6,4590.0,698.0
GCUSD,2026-05-01 08:00:00,4589.5,4601.9,4586.0,4596.0,1412.0
GCUSD,2026-05-01 08:15:00,4596.2,4619.3,4594.1,4614.2,3097.0
GCUSD,2026-05-01 08:30:00,4614.5,4614.7,4600.1,4603.1,1871.0
GCUSD,2026-05-01 08:45:00,4603.3,4606.5,4600.4,4602.1,1366.0
GCUSD,2026-05-01 09:00:00,4601.6,4608.1,4600.6,4602.4,1158.0
GCUSD,2026-05-01 09:15:00,4602.3,4604.0,4596.9,4600.2,975.0
GCUSD,2026-05-01 09:30:00,4600.3,4620.3,4597.3,4619.1,2260.0
GCUSD,2026-05-01 09:45:00,4619.0,4640.9,4609.8,4637.5,3830.0
GCUSD,2026-05-01 10:00:00,4636.9,4673.0,4635.8,4668.0,5945.0
GCUSD,2026-05-01 10:15:00,4668.0,4672.5,4655.6,4656.3,4586.0
GCUSD,2026-05-01 10:30:00,4656.5,4657.9,4642.1,4645.0,3292.0
GCUSD,2026-05-01 10:45:00,4644.8,4647.1,4638.8,4643.6,1709.0
GCUSD,2026-05-01 11:00:00,4644.0,4647.8,4630.4,4647.5,2762.0
GCUSD,2026-05-01 11:15:00,4647.2,4652.0,4645.0,4647.3,1770.0
GCUSD,2026-05-01 11:30:00,4647.8,4655.9,4646.4,4654.9,1467.0
GCUSD,2026-05-01 11:45:00,4654.8,4659.2,4643.5,4654.4,2565.0
GCUSD,2026-05-01 12:00:00,4654.0,4656.6,4649.0,4653.6,810.0
GCUSD,2026-05-01 12:15:00,4654.0,4661.3,4648.9,4649.0,1732.0
GCUSD,2026-05-01 12:30:00,4649.2,4652.8,4644.9,4650.4,1315.0
GCUSD,2026-05-01 12:45:00,4650.2,4654.8,4648.0,4650.6,533.0
GCUSD,2026-05-01 13:00:00,4650.2,4654.5,4649.1,4651.6,610.0
GCUSD,2026-05-01 13:15:00,4651.7,4652.1,4642.5,4643.4,2912.0
GCUSD,2026-05-01 13:30:00,4643.4,4644.5,4638.4,4640.0,1086.0
GCUSD,2026-05-01 13:45:00,4639.8,4646.9,4639.1,4641.3,898.0
GCUSD,2026-05-01 14:00:00,4641.7,4642.8,4627.5,4627.5,1027.0
GCUSD,2026-05-01 14:15:00,4627.5,4636.0,4625.3,4635.5,1114.0
GCUSD,2026-05-01 14:30:00,4635.4,4636.3,4627.8,4634.3,744.0
GCUSD,2026-05-01 14:45:00,4634.1,4637.8,4632.2,4636.1,534.0
GCUSD,2026-05-01 15:00:00,4636.2,4638.3,4632.5,4638.2,328.0
GCUSD,2026-05-01 15:15:00,4638.3,4639.6,4636.3,4636.3,282.0
GCUSD,2026-05-01 15:30:00,4636.3,4636.3,4623.4,4624.0,1124.0
