symbol,status,bars,missing_dates,intraday_gaps,nulls,duplicates,ohlc_violations,zero_vol_bars,stale_events,outlier_bars,monthly_return_pct
HUM,CLEAN,520,0,0,0,0,0,0,0,0,30.5
INTC,CLEAN,520,0,0,0,0,0,0,0,4,18.43
MNST,CLEAN,520,0,0,0,0,0,0,0,1,13.62
GE,CLEAN,520,0,0,0,0,0,0,0,1,12.7
CNC,CLEAN,520,0,0,0,0,0,0,0,0,11.03
IT,CLEAN,520,0,0,0,0,0,0,0,1,7.62
ELV,CLEAN,520,0,0,0,0,0,0,0,0,6.15
PM,CLEAN,520,0,0,0,0,0,0,0,0,6.02
ADI,CLEAN,520,0,0,0,0,0,0,0,1,4.01
UNH,CLEAN,520,0,0,0,0,0,0,0,0,3.36
CCI,CLEAN,520,0,0,0,0,0,0,0,0,3.33
CBOE,CLEAN,520,0,0,0,0,0,0,0,0,3.0
CL,CLEAN,520,0,0,0,0,0,0,0,0,2.4
HLT,CLEAN,520,0,0,0,0,0,0,0,0,0.79
GOOGL,CLEAN,520,0,0,0,0,0,0,0,0,-0.28
CI,CLEAN,520,0,0,0,0,0,0,0,0,-1.77
PSKY,CLEAN,520,0,0,0,0,0,0,1,0,-2.48
KEYS,CLEAN,520,0,0,0,0,0,0,0,0,-3.05
EOG,CLEAN,520,0,0,0,0,0,0,0,0,-4.64
MCD,CLEAN,520,0,0,0,0,0,0,0,0,-4.67
CVNA,CLEAN,520,0,0,0,0,0,0,0,3,-4.87
MO,CLEAN,520,0,0,0,0,0,0,0,0,-5.45
XOM,CLEAN,520,0,0,0,0,0,0,0,0,-5.66
OMC,CLEAN,520,0,0,0,0,0,0,0,0,-6.02
MKC,CLEAN,520,0,0,0,0,0,0,0,0,-6.6
DPZ,CLEAN,520,0,0,0,0,0,0,0,0,-7.96
APA,CLEAN,520,0,0,0,0,0,0,0,1,-9.53
CF,CLEAN,520,0,0,0,0,0,0,0,1,-9.87
DVN,CLEAN,520,0,0,0,0,0,0,0,1,-12.66
