symbol,ts,open,high,low,close,volume,trade_date,ret
ADI,2026-05-26 09:30:00,407.5,421.36,406.5,417.96,637871.19319,2026-05-26,0.05306122448979589
APA,2026-05-07 09:30:00,36.42,36.83,35.85,36.01,119251.0,2026-05-07,-0.05954557325672505
CF,2026-05-06 09:30:00,122.08,123.0,120.01,121.54,535471.0,2026-05-06,-0.0510618363522799
CVNA,2026-05-06 09:30:00,78.4,80.16,78.004,79.646,297915.0,2026-05-06,0.05093288997967971
CVNA,2026-05-13 09:30:00,73.3,73.36,69.86,69.93,371179.0,2026-05-13,-0.05141074335322837
CVNA,2026-05-22 09:30:00,64.77,68.0,64.66,67.73,414763.0,2026-05-22,0.05154479118149369
DVN,2026-05-06 09:30:00,47.5,48.74,47.42,47.99,1435463.0,2026-05-06,-0.05883506569915664
GE,2026-05-06 09:30:00,300.43,306.95,299.86,302.6,1241596.0,2026-05-06,0.055532300823217584
INTC,2026-05-05 09:30:00,103.15,107.27,103.06,106.41,16320783.0,2026-05-05,0.11121553884711766
INTC,2026-05-08 12:45:00,117.06,126.54,116.88,126.44,3199287.0,2026-05-08,0.08012984794122668
INTC,2026-05-15 09:30:00,109.79,110.46,107.43,107.96,17672936.0,2026-05-15,-0.06810530858869224
INTC,2026-05-20 09:30:00,116.22,120.1,116.22,117.4,2754702.0,2026-05-20,0.05985375101561807
IT,2026-05-13 09:30:00,151.5,151.5,144.5,144.5,42528.0,2026-05-13,-0.05567899620964589
MNST,2026-05-08 09:30:00,84.5,85.97,83.12,85.2,103671.0,2026-05-08,0.12090514405999198
