symbol,bars,mean_close,std_close,min_close,max_close,mean_volume,total_volume,monthly_return_pct
HUM,520,284.59,27.833,232.46,312.62,43957.0,22857702.0,30.5
INTC,520,114.59,7.8048,95.76,129.93,3192742.0,1660225925.0,18.43
MNST,520,84.37,4.7079,74.65,89.64,116503.0,60581587.0,13.62
GE,520,298.72,12.0929,279.63,325.58,130398.0,67806937.0,12.7
CNC,520,57.12,2.0704,52.81,59.95,120106.0,62455236.0,11.03
IT,520,153.83,6.0665,140.59,166.02,43023.0,22372070.0,7.62
ELV,520,386.45,10.1153,367.6,405.62,33389.0,17362136.0,6.15
PM,520,181.2,8.8417,165.75,192.85,99221.0,51594689.0,6.02
ADI,520,410.61,12.0872,382.04,435.22,91796.0,47733668.0,4.01
UNH,520,381.86,10.5789,361.89,403.77,159788.0,83089915.0,3.36
CCI,520,90.4,1.6128,85.59,93.72,93811.0,48781539.0,3.33
CBOE,520,351.02,11.8498,322.28,369.8,23818.0,12385354.0,3.0
CL,520,88.86,1.8385,84.56,92.2,125896.0,65466153.0,2.4
HLT,520,320.52,7.0118,308.43,337.68,34444.0,17910653.0,0.79
GOOGL,520,391.16,6.1784,380.4,407.16,624806.0,324899160.0,-0.28
CI,520,286.04,5.8785,274.1,301.42,36420.0,18938610.0,-1.77
PSKY,520,10.54,0.398,9.75,11.21,301573.0,156817780.0,-2.48
KEYS,520,350.46,10.5341,328.32,369.19,35162.0,18283988.0,-3.05
EOG,520,137.28,4.1725,129.03,145.28,88792.0,46171913.0,-4.64
MCD,520,280.73,4.1784,272.15,293.79,97819.0,50865727.0,-4.67
CVNA,520,72.0,4.8979,61.66,81.17,298512.0,155226214.0,-4.87
MO,520,71.98,1.754,68.11,74.53,213665.0,111105566.0,-5.45
XOM,520,152.08,4.7897,144.21,162.93,368190.0,191459037.0,-5.66
OMC,520,74.73,1.9481,70.71,78.29,84720.0,44054402.0,-6.02
MKC,520,47.54,1.1506,44.91,50.88,84774.0,44082236.0,-6.6
DPZ,520,317.12,9.9232,301.21,339.66,22064.0,11473332.0,-7.96
APA,520,38.25,1.8009,35.45,42.03,160175.0,83291060.0,-9.53
CF,520,122.15,4.1209,111.44,130.41,83320.0,43326373.0,-9.87
DVN,520,47.44,2.1941,43.72,51.75,349791.0,181891327.0,-12.66
